"F1_2"	"F3"	"F4"	"F5"	"F6"	"F7"	"F8"	"F9"	"F10"	"F11"	"F12"	"F13"	"F14"	"F15"	"F16"	"F17"	"F18"	"F19"
"atpB(all5039)"	0.584414447654834	7.37151830604991	6.83264073664469	3.33141909874465	3.46745359555684	4.80066916302828	13.505084432173	31.2803049528527	7.58872199209925	5.40895708605079	3.04262661205406	2.66652796697749	1.9932954033891	2.23617290267225	1.99971758309946	1.65272341642217	1.08794255346725	1.14980975106332
"atpE(all5038)"	3.26026476977344	7.05466720995167	6.09776760202651	6.80003603154738	7.25201874445373	4.56904608304677	9.08011526334431	33.116672648231	6.28968883351598	4.32245292822229	1.9913511696831	1.91362682784902	1.34559051872842	1.63766594815379	1.62869296848645	1.47983752003722	1.05323009561155	1.10727483733733
"cpcB(alr0528)"	0.420704806527019	5.11701866669009	9.89771796202871	12.6394389221131	15.0424222955393	23.3446622757209	22.5024148019025	7.60367551705835	1.59444700114329	0.643493162973644	0.262863956204968	0.161138738587281	0.109883048502845	0.143707376112968	0.141350059683487	0.140756366520237	0.130457762620255	0.10384728007097
"cpcA(alr0529)"	0.619000831423739	5.90251771731891	11.4795889254164	13.4846735324294	16.0454662203826	20.5671393401768	19.9427239156256	7.80824876345902	1.98137314958332	0.76342137348162	0.307983309321753	0.20672000309989	0.148159414570113	0.175390882460728	0.160821739185957	0.136219447682911	0.13143368848534	0.139117745895814
"cpcC(alr0530)"	0.243449009852963	1.70271749902553	5.07982143898487	8.98399871553799	14.5566599315707	20.3437937180889	15.6981305475675	14.5120571669448	3.62483981692677	1.78666429195918	0.98172634128308	1.06345604024567	0.968540360050541	1.6091452270287	2.23814234925447	2.22038024490356	2.02907224233047	2.35740505844431
"cpcD(asr0531)"	2.51764417462445	10.8111039136128	19.4403178681625	23.2141910944648	14.301372754926	12.0173563137735	11.7685950204797	3.43196171985576	0.693765393554999	0.323496533643741	0.16007609573915	0.113763485985062	0.134553996692557	0.13313586041977	0.158249415836149	0.247499026538911	0.220879336012481	0.312037995677722
"cpcE(alr0532)"	2.73935326360246	29.800153540792	35.0467849145069	12.5367874836807	5.26002773743205	2.94083013957346	1.69535395989814	1.57397378149427	0.978181473738983	0.938993436537774	0.613851852557631	0.721491681889636	0.65061712557596	0.608285244068425	0.688205434111085	0.756980929339278	0.821606469792531	1.62852153140885
"petB(alr3421)"	1.03655511230824	3.27970292264235	10.8591711792305	23.8080648677404	14.2701950011893	24.0743754390454	12.0071355442923	4.2301775891767	1.98362121037077	0.831245333643334	0.605611621785322	0.352326988677397	0.407062583817042	0.308037691295812	0.401156690276351	0.404701967695814	0.343528577786825	0.797329679026197
"petF(all4148)"	34.3050430584933	44.1147229132163	14.5110195920821	4.67112966689991	1.18400652123487	0.424872120965681	0.1643869676204	0.144056494619756	0.0832777214959658	0.0664237207257264	0.0410283540723217	0.025134172151349	0.0290842373235555	0.0196380896207344	0.0569622076228164	0.0403577782486997	0.0346060137684152	0.0842503698381096
"isiB(alr2405)"	19.488637127248	52.8059018723873	19.4151190433083	5.99141102414925	1.40455347193788	0.475002100190078	0.180105146370073	0.116433375020142	0.0187018571192488	0.0145278727299695	0.0116445482187425	0.00885084289856409	0.0146327364863007	0.00712970518489966	0.00946560943012636	0.00898964368727142	0.0100245752920777	0.0188694483418436
"cytA(alr4251)"	30.0471603047451	28.2139420058448	20.0504228877448	9.51873124653183	3.05129905320012	1.85122641555486	1.19029835906919	1.05259555249328	0.683389846059414	0.67554390225299	0.559468223643939	0.580050520760145	0.491902136267103	0.296747283303518	0.464977189117787	0.313572053262904	0.3939273195819	0.564745700566317
"psaC(asr3463)"	0.694712823381281	2.50867736435524	3.1717255467498	2.06562158352521	1.08752624884866	2.61765461228759	12.844565324327	14.4075168289478	7.6964893627744	5.34387106899943	3.61972614201407	3.22625955592169	3.50547562881694	4.87527598443814	7.50796391745834	7.80610456510774	7.49807569947759	9.52275774256912
